427,919.73
440.29,918.29
314,908
324.91,903.46
267.31,901.72
221,899
350,896.5
288.62,899.97
225.68,898.32
183.13,898.39
325.55,895.76
586.93,893.29
163.5,893.5
248.83,893
201.86,892.32
376.75,889.87
143.12,885.41
590,883.5
315.86,885.66
217.55,883.63
186.72,885.51
156.7,883.07
247.16,879.16
238.95,876.75
472.95,876.53
270.92,876.66
374,873
350.43,874.83
432.58,872.98
300.95,877.33
587.06,869.06
180.42,870.08
455.04,871.71
482.15,868.18
332.5,868.49
202.1,864.95
474.09,864.43
213.08,864.69
632.09,868.22
655.36,863.4
529.78,864.18
600.67,858.33
361.73,861.22
143.5,858.5
277.85,860.62
173.48,858.56
445.91,859.34
287.1,857.88
138.58,853.58
345.09,851.91
411.03,851.58
356.97,851.79
563.42,852.3
493.25,853.13
473.41,853.02
385.67,847.13
627.67,842.67
245.15,844.17
655.36,842.09
273.6,843
288.08,845.01
507.27,841.43
668.84,842.83
577.5,839.39
153.88,839.59
230.5,838.5
191.23,838.52
493.2,834.6
382.72,837.76
552.07,837.51
681.71,833.46
326.57,832.96
210.13,832.67
135.22,833.92
124.51,834.14
653,829.85
640.02,831.96
635.5,829
588.5,829.5
531.91,831.17
544.3,828.39
491.14,828.32
617.69,834.23
255.5,826
265.59,824.07
715.93,823.28
613,823.87
332.42,821.79
183.36,822.22
123.83,821.48
303.41,818.44
289.16,819.38
494.69,815.5
692.24,815.29
634.44,816.79
704.14,813.07
726.22,811.22
357.79,817.75
296.14,811.27
609.22,811.6
132.1,808.7
718.5,803
666.27,804.96
155.08,805.59
101.59,802.88
336.85,803
324.69,805.66
118.5,798.6
216.64,796.93
385.69,796.37
187.87,799.21
723.95,792.93
86.538,791.85
118.66,788.36
107.13,785.13
765.59,787.9
634.54,786.49
215.95,784.92
191.69,778.83
748.39,780.18
243.02,774.24
362.54,773.73
719.11,771.5
63.667,769.33
753.17,768.66
505.19,768.6
372.37,766.37
121.21,771.91
184,761.5
631.89,764.6
56.702,765.35
453.49,761.51
233.9,761.84
509.33,756.27
